Time_Sync,Dsc_DireP1,Dsc_DireP2,Dsc_DireP3,Dsc_DireP4,Dsc_DireP5,Dsc_RadiantP1,Dsc_RadiantP2,Dsc_RadiantP3,Dsc_RadiantP4,Dsc_RadiantP5
0,11.520328950847727,9.970659091313827,10.089957218356393,21.85550442975249,10.611550236743003,20.511492771166676,12.073390132587747,9.660794573715046,11.741221157352415,10.802030771172534
1,11.083312926398907,10.663854485702515,10.586036549924376,21.99273204881643,11.108454704948588,20.2908034633226,10.429259011700161,9.13603969531685,11.303423110608783,10.341141883270852
2,12.50416239225482,12.50416239225482,12.627601686305304,24.973422641821635,13.155967669569034,22.38913556176921,11.451184591158995,10.451549225316427,13.238864563461364,11.976507949063002
3,14.955727107312159,14.500523926005233,14.401337394730389,27.151664959954353,14.926563668608406,24.993858195475912,15.715118951604104,12.61562832646078,15.52977468212843,14.596333391326937
4,16.724323949160414,16.11461864496795,16.23308113736452,29.04905365221159,16.973684183743302,27.842619865929446,19.826212362088892,14.267996299171427,17.17186184334575,15.90028940256713
5,18.462925454511847,17.837195558858994,16.974941204995645,30.835634824398024,18.572173344390016,31.053751986848006,20.682123988087067,15.062615973809493,17.681975275655606,16.770894716471606
6,19.179392896691365,19.179392896691365,17.516955060311343,31.379462606585026,18.55142169293698,35.086286141562475,21.62793207327021,16.279900499929184,19.77678691008907,17.963094634108
7,21.470202013204695,20.832068823706482,18.18455952535746,31.498580494820615,19.7053831450355,38.57987494696815,22.144676822624724,17.15830571914058,20.41813620297148,18.861502519971342
8,22.711776861121294,22.072238243276757,18.648515362230203,31.107114827823242,20.632183686256745,42.42214519950889,22.770308315553933,17.9322043384942,20.618176203541978,19.709987478715888
9,24.210323960654375,23.57416159609342,19.434151341587317,31.64152298062109,21.84962111989778,46.12024563223534,23.865928258084104,19.0729476409757,22.370670592663032,20.813445458252488
10,26.340882998200314,25.348104224135298,20.497395714622122,32.133181530595884,23.673778707160956,49.19947799062991,23.294995092007124,19.201622932361627,23.5067024098404,20.649651449681418
11,27.18822743564352,26.544808247019347,21.153961246549745,31.95058671510154,24.662801949926358,52.21776270558327,23.418906286493794,18.76688505539864,25.419475706602817,19.16190912170479
12,28.337659891196814,27.687603790679926,22.313533057598256,32.595326617095346,26.933447972882114,54.79093765702705,22.53324394526807,19.242676809977095,27.799985351413007,19.65122849239171
13,29.027244164387167,29.027244164387167,22.990771592868537,32.17184413773781,28.29674911881734,56.611513914677026,23.012144911422755,20.660495791420193,29.18395272378124,21.711443031829955
14,31.066067964262693,30.41060905918016,23.973347914639923,32.663126060918174,29.918480246895008,59.54678385432568,25.073571446640543,22.73510267525525,31.193264431137354,24.15628460224591
15,32.55072049381114,31.89848233340777,24.777561862916862,32.695660015381,30.997596377684445,60.822819390797065,28.104695358684637,25.070684486862163,34.50761272922642,26.856030547892225
16,33.803123650695824,33.14218369332655,25.674945274633227,33.17717647776149,31.88948039104903,63.71004189793217,31.929822102387213,27.93831821990782,37.03205996119068,29.977657229607395
17,35.18208310817624,34.167474854409676,26.207080335414155,32.23630179821,31.97754567675028,65.5438073226885,33.92549209533756,29.882443005990634,38.570461079838765,32.14830006382741
18,37.53352458588128,35.13807017506335,27.037270929377655,32.50659451285691,33.03479738433817,67.11349679487367,34.23791841448195,31.884398604721387,40.385372170504155,33.94694335971885
19,38.83100872205793,36.125673018548305,27.783465610986813,32.864340044310374,34.17428567351763,69.73525768465242,34.87968735049921,33.53154148727663,41.93068636845621,35.05093359995184
20,39.85721457917755,37.163763607027036,28.82936964206616,34.19719026067625,35.22626768653004,72.61069440981728,35.62657402065154,35.10333646404351,42.0133592714896,35.46878472078165
21,40.52863551999678,38.853767854270735,30.181516716622188,36.042741983060715,36.44425284395087,74.19836172761845,35.96772243676534,35.92937967959653,40.86761405476062,35.82222293959028
22,42.295147776972065,40.985152774766036,31.46848323280231,37.46952232046024,38.52646474704295,76.35685026770153,36.34386077984921,37.10042513549154,39.185317761174275,35.803944624369265
23,44.354266081735645,42.36813009809387,32.86972149612262,39.27898356316033,41.573713506774354,76.96785931336257,37.38619788059358,39.20540425758807,38.35438826010993,36.6768032936427
24,45.97157037059545,43.99153717491075,34.31318321206087,40.97680889318661,42.81832759626703,76.95797059072741,38.24311853792421,42.247115836052444,38.42721147440942,37.17670331024587
25,47.178896954149515,45.51026345192692,35.64747149280908,42.52360412045318,44.669390833083,77.19398331877187,38.86115647481142,43.867612016924824,37.67808996534283,37.973823091428535
26,48.0723159300179,46.74273478621898,36.47350993476419,43.81074575879647,45.69929051257386,77.5363113039443,38.75879052215551,44.89150669747599,37.274087516103016,38.052722875637556
27,49.98914744917919,48.3036341883421,37.679677684417,45.17662312236893,46.89841150810512,77.18530457181768,38.524941583076426,45.83979593842013,37.246357857608736,38.963906398159615
28,51.01895404089121,49.98409544123736,39.29943522026791,46.90634963949013,49.448481859925224,78.20236299872718,39.07100563012712,46.6744751196413,37.16737958746446,38.87190952308617
