Time_Sync,Dsc_DireP1,Dsc_DireP2,Dsc_DireP3,Dsc_DireP4,Dsc_DireP5,Dsc_RadiantP1,Dsc_RadiantP2,Dsc_RadiantP3,Dsc_RadiantP4,Dsc_RadiantP5
0,45.606449668532875,48.38446588000206,45.733952980236474,42.912885727123296,49.187855441603894,43.53619121755443,81.17545187673792,57.40058995533058,47.792368888404475,56.23931781549075
1,45.606449668532875,48.38446588000206,45.733952980236474,42.912885727123296,49.187855441603894,44.0680193034553,81.69290380137498,57.69733055106165,48.294972772562275,58.08794230591754
2,46.610723792285285,49.49964058615244,46.71767224096785,43.07669652116212,49.305727229565164,45.80014573753617,81.23799736406261,60.0278445013908,49.463224692397915,60.433370771808136
3,47.97421967025841,51.050765096779756,48.06407258684765,43.38459654229494,49.76341793814424,45.774398744615155,80.04593618590962,60.006174448805766,49.66448078613578,58.983953186601866
4,49.023507698806284,52.239056799433214,49.1303098062281,43.70664248874779,49.921267476065616,46.654977105565955,78.9225828848325,60.96720991667848,50.588673608649806,60.26273890185576
5,50.07637135362134,53.97183543678046,50.28921007327365,44.0984603262222,50.52126057236699,47.76128531907152,79.07949069441035,61.50982803427474,51.7922134361554,61.82874626250222
6,50.07779579445332,54.26897536574282,50.85076264254525,43.96153784195474,51.68716158202474,49.95320543188614,80.64069821014245,63.5756818464195,53.60921658278413,64.6908766793567
7,50.49304241888398,55.03321662738652,51.47208279654063,44.214290166429215,52.54102436677791,50.241414419036644,78.82540455889387,63.27337481756188,53.91513168383061,65.31495242221968
8,51.87558594927506,56.50996615547995,52.416184257436896,45.27263498345444,53.91836957787997,51.14165049228008,76.58685377695197,65.4133295449619,54.96358149373443,66.37426626531096
9,53.01860344277634,57.49169469266265,53.363855134877234,46.54681278794294,55.049486221519075,51.999519572401155,74.10266365502945,66.26579327537642,55.36038726283776,67.57612738791526
10,54.50529431128838,59.205073132624435,54.996614723447955,48.37043738779137,56.516008064951336,53.130509211008395,72.83098053818485,68.87446478380237,56.1446919348343,68.91761754822754
11,55.75388392015495,59.985938852345214,55.733251014770886,49.34512901931227,57.759612098649384,54.202191952792774,71.94000584945817,70.10712706670135,56.84271971622124,69.95720374984796
12,58.477757060296454,62.04937053331618,57.2846720279637,51.60446176642665,59.19592105143671,55.076601050925845,71.26751640032379,71.94540033608041,58.197535060264315,71.81923236456942
13,60.23037109568383,62.64089299670802,58.76610636511248,52.74181415519925,60.27360242929108,56.26844096718074,71.19120147750364,74.33224020279158,59.46038939864251,73.16042036331223
14,61.55404659771679,64.4438571428081,59.47163914485289,53.99017956504645,61.56271396934456,55.75561869297644,70.65825989992985,76.06903857632666,60.045987730323944,73.79084547590128
15,61.56344522597528,65.15707498198427,60.090148803137055,53.59815477037544,63.57220519131265,55.98275860549278,70.71283816656012,78.19784050822363,61.21968582084426,74.43066922783856
16,64.07484023501857,66.7164263140467,61.49254924734715,54.171356436401375,65.45895349395663,57.11377571964616,70.87084397406005,80.24203945331567,63.05112603568868,75.44600774821261
17,65.71134560217999,68.66058277764108,63.451440242609905,55.77248120634743,67.09927209951476,56.65301487946962,68.79665687351107,80.2879047961006,63.35955429881689,74.56869176106275
18,67.09830837618121,70.05341734039919,65.26128820399336,56.512615506807116,69.16008173309729,56.35352447735847,66.20509785299892,82.66990655753311,63.06870093337038,73.4397479512971
19,69.0399255053895,71.99074578249017,67.6083749866035,57.46799186400577,70.84144070579246,55.844866693502325,64.38048190210381,83.21465695820018,62.82189432543761,72.40702133867845
20,70.1045791872387,73.15274378636978,68.62413885634506,57.995417419202276,73.25920483266877,56.035721354950276,65.04071321828569,84.96113246342681,63.71640839423149,72.595591819266
21,71.3074247314399,74.19901865560023,70.04857538788318,58.55665284240369,75.18620396258098,56.26578131197566,65.12643538070989,86.10595013924512,64.40591980392378,71.48576949591047
22,72.11770466660539,74.14799582591432,70.9175493249245,58.663956778136026,76.37756290446168,56.690896949177855,65.74862283749485,88.25596541090775,64.9826888065237,71.89315104109292
23,73.00397522731647,74.26749287512847,73.42093714600347,58.69534580314358,77.10606298416215,56.87026329290591,66.43630454831577,89.10900990612487,66.27780925964717,71.30058269283867
24,73.30745976625639,75.0091269269106,74.9766755103114,58.64448334792175,77.55804026559845,56.31960631423364,66.23267600248262,87.42051363594102,67.87607313073907,70.5849267150198
25,73.71409502343626,74.18124648883327,75.66455944106985,58.26025452992211,76.42991654239881,56.16165097601821,65.7053951903751,87.04103087185041,68.15746854119601,71.10431793624652
26,74.86203942916148,72.69367507437875,74.70974278578016,57.853130095651444,75.63662405308283,56.127439821537685,65.82005868404678,86.5743387692018,68.76025745922604,70.67639954394593
27,74.8106010332395,71.9687487607487,73.80685779597587,57.56780446792102,74.58025983058539,56.244684964495065,66.64970828745412,86.43915317345812,68.55728651730627,70.98227342944804
28,74.56865531805983,71.81672095358343,72.74805983438006,57.54112555784247,73.71016797186307,55.93063877306836,66.4058345395606,86.17173369164428,68.61487429428297,71.26558967751677
29,75.16321107951636,71.7819863813184,71.99802113748476,58.0183925990476,73.67105340176522,56.06323128133534,67.14540786055811,85.43164761289826,69.36591968388196,71.70504315130258
30,73.84955897162948,71.4388770654277,71.22822660130461,57.73604675503224,73.21471419616269,55.93631257497037,67.11638947721688,84.76265468261603,70.0097775327782,71.59326387348972
31,72.82471357048644,70.94044013755853,71.16702671538769,57.16430030991293,72.60888590690588,56.533203605116995,68.1767838621617,84.18955200601334,71.44902261397007,71.58259409948685
32,73.30821142633377,71.29916885740094,72.15289980369425,57.656626711759074,73.09569744611129,55.9498948831299,68.2672052167047,84.56929712814797,71.54752084523868,70.97758573074447
33,74.59626420798207,71.85515778211334,72.69184284934809,58.344756075514496,73.96549757013426,55.53719102051198,68.45935047776024,83.64747037187196,72.42420687804118,70.63915628891348
34,75.27249337497668,72.88032382326935,75.20409912347417,59.4659893475022,76.30737073250843,55.844086446180846,69.29843896770157,83.25959544762387,72.59986785748856,70.8674897888798
35,73.77661764408752,71.73326571586442,72.58830800985757,58.24036339487886,74.57619276266703,55.63345647572931,68.86345030749783,82.7809921745805,71.50129034594887,70.7198213206998
36,73.71293113043531,70.89671823512694,71.74381743242682,57.51097124752047,73.24641231987957,55.01024114386081,68.44958559161864,81.33586205484804,70.4523381515029,70.23929286147452
37,75.77490495453854,71.67722486738518,72.09700515319096,57.92692409880991,73.04473135245837,54.2867916207622,68.11888208742602,79.27968955020324,70.80598110684275,68.77481947728165
38,74.72130605884576,72.00884159615622,72.19690194272421,58.009310185192795,73.25890432956805,54.53240944425332,69.38339824828869,77.79198392376729,71.36532873552709,68.31586782782233
39,73.35883896461857,71.54629152148016,72.16594057684658,57.94646378782667,74.9880405195069,54.12271826659564,69.03458488426882,76.46522473338862,71.03219625641566,67.44832787772133
40,74.81917502442528,72.30835941272504,72.92895949117431,58.71435976850323,75.40182607603356,54.324749844356155,69.48154872807291,76.37006175114016,70.82091900896303,67.71153064901212
41,73.14940837966067,71.1987208461121,71.81868808252995,57.600581769305045,73.73790474634266,54.417456440687275,69.32654435457403,76.27979880823511,70.32625430728773,68.2631514147096
42,72.86226396164871,70.03450451970079,70.65551631160442,56.69453944272128,72.14048907195173,54.41459874842589,69.30114617424975,75.56420076384813,70.63728388808644,67.95621998139097
43,72.32106135798038,69.5663998959932,70.83958466811627,56.49684372228418,72.12745454232868,54.66463342957471,69.96858862178925,75.66192394592497,70.62611879942688,67.9248228743141
44,71.56647913388117,69.88033003560317,71.28623856968022,56.6150251123753,72.63802015953569,54.65828664001132,70.10146297974555,74.27194981829605,70.76839687602086,67.58588700892876
45,71.42502425581002,70.17380584096108,71.19330813310435,56.632469019302505,72.48090351173646,54.46270501437324,69.74027493119165,73.49792958518216,71.73627700344205,66.96780953303616
46,71.85761158974465,69.707231263268,72.1164293406403,56.33516419632603,70.5272234703987,54.17920239522522,69.27359842794809,72.30934863141226,70.6259399018237,67.02655952972034
47,72.282276788713,69.95026691716448,73.13211240515922,56.59520969388488,70.60665578195578,53.8032799679452,68.55537789820188,70.08437295734859,69.92125178668584,66.21080867720082
48,72.68885292252068,69.45005762709496,71.23588051206646,56.04868345099081,69.66614531892753,53.872461011729314,68.4554621079154,68.79441189925721,70.81800474423235,65.85341414285672
49,72.9590889799977,70.32141750868847,71.34716610340755,56.665583410803755,69.90681128452924,53.92132491218687,68.65818085651924,68.1553988707691,69.91874122502009,65.52047813078707
50,73.37349733741225,70.95413776078571,71.98365918431763,57.15427177978252,71.02607061359232,54.547514867189115,69.2355754103578,67.8293064123746,70.7873513407766,66.49446292793424
51,72.09613167324359,70.70985649704384,71.74284021567708,57.052240538609986,71.11246977996147,55.55875037597703,71.07059514253291,68.02941591937416,70.37619976551295,67.01997559252135
52,73.42408188181439,70.56517200462369,71.59843426131567,57.48886439067382,70.73656750438272,55.83893898845021,73.24261996021204,68.5809085000832,70.98026805326047,67.2632227557371
53,72.98517614366808,70.1484313190915,70.77553116227786,56.93942457934676,69.97427313713317,55.98921708457996,71.99776155994866,69.13405213654562,71.00650095291381,67.82585667026567
54,71.86643538592435,70.18615133033029,70.0359977616385,56.541874887196286,69.51766610003945,56.1613807918553,73.0095087938399,68.73794953493699,70.97040372015364,68.21843407412403
55,72.5270049444454,70.80308553277385,70.55536535416046,56.97337454931056,69.88492421371863,55.749938963292806,72.22899488343124,67.42810477776884,69.50006200020066,67.81908920271874
56,70.81816346590952,70.36290077334094,69.49851802633388,56.10091765954469,69.44889434764715,55.683524739565975,70.79248008191608,66.68388352050918,70.02265955176775,68.10579898521941
57,70.29381945410822,69.49388929203977,69.41667822773033,55.61553604192678,69.84908993652176,56.14303457349139,72.48103538638358,68.82098789936101,71.32926570824873,67.29912368005134
58,71.18802196420114,68.50923052276026,69.52362929215357,55.50750686379178,70.0774060282325,56.06415131423663,72.05114707528018,69.01263223897065,71.67848480360607,67.44531015313035
59,71.4992709856025,69.08467556188516,69.78637195082575,55.691416979222765,70.70477055149696,55.59443627207206,70.36885823611732,68.9291146952619,70.96624728349703,68.08157123825025
60,71.5469664123708,68.56484567165323,69.27451136443038,55.691755948866074,70.08305867811158,55.991465960849766,71.4044433936177,68.56881490928602,70.72075453249026,69.77279917976712
61,70.7997851749738,67.96454073253221,68.68759605650087,55.38870796812013,68.72541955782796,55.52702563908622,70.78438598470132,68.24774457297431,70.49355598648677,67.7680655554492
62,71.53411283115976,68.52512830641164,69.24836533741572,55.9412669332913,69.74614655169165,55.609607838252856,69.86559716678832,67.5529643666681,71.67729759586254,67.36131474309344
63,70.91104916261172,68.44099326785599,69.15126964443621,55.98447368091306,70.0642609686152,56.945897255242265,71.30134116328057,68.83470488740541,73.12646414817351,69.02865056930933
64,69.85828665193559,68.12773777294404,68.81993882603147,55.08412274376617,69.04609168719928,56.55519015417556,71.6401933735043,67.28446458970858,73.30385360998534,68.00358449472509
65,71.91335845348559,68.16439101936525,69.52422420692575,55.48550526108217,70.06339141820874,56.23121671511252,71.40327953957478,67.23825074229963,72.79942274653966,67.94179567574987
66,70.3684732012691,67.68412183589656,69.05701941686708,55.53117990613731,70.82304990994395,55.72397668706623,70.88343111039659,66.27067132831431,71.58624125568011,66.31969469417308
67,70.04073569943017,66.90364979394815,68.27195757141108,55.53146264818638,70.12463190755804,55.87117879687767,70.9350718642435,67.63923370083737,70.9350718642435,64.69513046360412
68,70.47445007205042,65.91384073117227,67.2851886867121,55.3070907208656,69.34915685858161,55.78617809452968,70.2412165823899,66.93150041308512,72.3558412584512,65.27206532120049
69,70.11653188997094,64.32376523894999,65.32373846759276,54.11129261570785,68.93234522748364,55.0828886041922,69.70470295366812,66.1977596988418,71.11327755017393,65.58014709910576
70,69.532757562471,64.71435317125412,66.04211729992008,54.606137043362544,69.49015300676822,55.05204780976782,69.77117349623006,66.3805258693308,70.96784976213137,65.71322208338908
71,69.42849661021529,65.12183234453764,66.45492819461286,54.93111578859401,69.65854394214753,54.451468194145065,68.5506533991796,66.09399715649502,70.72319947915491,65.76778346349191
72,68.60655377839959,64.22656865283332,64.90218545556704,54.216920424031514,68.60655377839959,55.37876325298292,69.60496215171216,66.94920549441183,72.5079906674764,66.63488104716834
73,67.92406943741567,64.64975714543792,65.39210017480045,53.82105607374048,68.13195352243525,55.80236731047606,70.71164797052488,67.90739729922154,73.62751552983063,65.89228016866579
74,67.08198913524842,65.17789145323688,66.30859563749758,53.49868845856803,67.49909460813525,55.58309958608838,70.77805137318418,67.25190702885764,73.51109807367807,65.8849129641852
75,66.06867614827354,65.0063821140833,66.75829439909637,53.34408091029028,67.9226076214729,55.3861736541617,70.29409956123042,67.28298520147821,74.00940641978619,66.31557711538011
76,65.91491778472466,65.30960863266041,68.04788052819605,53.05362273318146,66.14764130303962,55.77063806781252,70.19196165292252,67.97825015689685,73.91092948673919,67.0286104653442
77,65.0049107320593,65.59150794768594,67.65809112371599,52.57004662484587,65.2462219370288,55.88978433295173,70.72459445006112,67.51453762214537,74.45323551982676,67.92506420370856
78,64.76326441188807,66.07453697804951,68.73091778573686,52.62629989492821,65.01588517018978,56.335599454337654,71.30266527946279,68.30039561516766,75.03073810614622,68.43149355091099
79,64.14373904109115,67.0021192316174,69.9551811782109,52.722087506547126,64.14373904109115,56.276324727705635,71.22895156769287,68.21105649472469,74.9698158097658,69.24151543563482
80,63.94301769491192,67.20910231835856,68.88341848498253,52.629641571710145,63.94301769491192,55.94357880685837,70.62949388665814,68.0026630754102,74.39221213181298,69.39760594959064
81,64.90458874522861,67.87959278460932,70.54295401830169,53.28407541247709,65.3216318809077,56.22144519821592,71.10280444078533,68.4918329011291,74.85604718423836,69.22749656011452
82,67.2151552712505,69.37095078543788,71.72316710192298,54.74511011406837,66.92470466620813,56.09227016602979,70.97605442556805,68.7660618461124,73.91340432237226,69.21463240317676
83,68.14011572019936,70.1588810137981,73.51003138429061,55.749055542884264,68.14011572019936,56.99428435705682,71.82919667545588,70.05088041241639,73.62157681294686,70.67332942700837
84,68.764719364078,69.45919615226326,75.14338147934538,55.947657402789034,69.45934155338719,56.891846674320846,73.12963503278368,70.26925824555966,72.66990811072101,70.27857875503402
85,69.17037374340612,69.15393835708515,74.84786074303298,56.1602445896543,69.86705289241483,56.9849103679046,72.95127450783265,70.46678014242345,72.06828931145239,71.50599566040344
86,69.02775302209196,68.2633435703133,71.94955820219275,55.795035722831926,69.99425679820985,56.651976331989765,72.23510942461974,69.76219471578436,70.9858841459199,71.15058509814014
87,69.18505897034213,67.3762419477427,68.72495342797413,55.43992048890246,71.28371051944268,56.9630866063028,72.09674212664814,70.16723499866707,71.57631274523591,70.82485658336
88,69.01152942132607,67.45031475840484,68.79153882531119,55.22942684915251,71.10608822070958,56.31408741738617,70.43544637472647,69.82558127194145,71.13573700884291,70.38530437177573
89,68.93141261374315,67.38649020616373,68.74372384550175,55.42009392628539,70.59457849246087,56.45051441748416,70.77197217151456,69.3130729137868,71.72700797137989,69.91121623635448
90,69.5148905035196,68.54281058654678,67.88368609744717,55.586345763333846,70.58134210081528,57.01587940388712,71.05728472310695,69.59900316070252,72.00981108207532,71.25806764179092
91,70.5343394034751,68.38040415564319,68.43040405247835,55.409664061523934,69.26217874307665,56.48679416256918,70.61352532689504,69.22499451097467,71.56464259466631,69.46604586712422
92,71.55228905759158,68.63066008285838,68.03510518756559,55.27095016398114,68.63498374173082,55.859130373368465,70.18623941243084,67.91437589300033,71.13572431290237,67.44534147581945
93,70.6844848251334,69.36432423703594,68.73788275913783,55.45897585583191,69.16421457199037,56.19931224577941,70.22561276173721,67.66253897437589,71.17907242029048,68.18798319596725
94,68.7948193996684,69.34907188932365,68.67777425891477,54.71421086332026,68.23769384930296,56.8439593537146,70.09302605308528,68.1587902542784,71.04877932511512,70.03530561171095
95,68.15162363585597,68.84004367163362,68.82472345813927,54.30710224477661,67.6235604063514,56.777288295179865,70.74819035693723,67.93795258023829,71.00738244537686,68.42661861022228
96,69.1428619901319,68.23906754487959,69.23209682481087,54.13883896437477,67.26250315624249,56.23548721185772,69.6588112392907,68.10192188671863,70.14760597678692,66.92064372538925
97,67.84325055897249,66.79411742631055,66.45291116375026,53.18561051571894,65.83897078379583,56.5411155192956,70.5868859073155,68.07282469161191,70.12753582244332,67.88581004314935
98,68.86092554190054,66.12683228833059,65.7935650335097,53.04442966287333,65.09768016591212,57.04072284936977,70.44546915629174,68.46271120146285,70.68469464576201,68.28540393612333
99,68.92876321344413,66.12869723036911,66.15217467027257,53.768913386701456,65.62284503992407,57.48425536612387,70.67602277999896,69.38948645205554,71.1371559595474,69.3015584060702
100,68.602234540822,66.72613025486228,67.48286451788456,54.47005774251884,67.15768021941965,56.263650127607065,69.49542342668187,67.70069372560634,68.78830228944494,68.8607486808724
101,67.44913437283819,67.23777114750618,68.5898894351452,54.67698271908394,67.91399145757289,56.227894453135356,68.82456620656886,68.40630837444363,69.05104033488973,70.3301120005625
102,67.39448062660455,68.03101124310666,69.35135291561586,54.96468176821115,68.57508733099765,55.92447485203549,68.93436482971076,68.19392857967034,69.3603182205932,69.2431829677355
103,67.73175131854434,67.59622702893452,68.2699011337197,54.77862281931921,68.68155744448143,55.92971721131601,68.95663405812623,66.7163996806855,69.3655653130199,67.72805383371798
104,68.69584568417817,66.79068015686356,67.45686959541808,54.832252369000265,69.39938066111418,56.39162701767093,69.95632234454777,67.63513304777166,69.44816212166174,67.31031597358697
105,58.934609701810324,76.59057628869259,93.91717593469946,62.20872518161018,60.19995756091855,56.56262853723698,70.448580454738,68.14204905436392,70.89654573669262,67.52228308428604
106,59.73664058519053,76.8018300808778,94.57863721195125,62.664514125287866,60.1198799493839,56.74013025693557,70.15291455994915,68.62993260158318,70.85918612934628,69.47682014754986
107,60.276653611482686,77.3017709057818,94.79687622993004,62.79536430307219,59.81086295500894,56.86053821289344,70.48396054971101,69.15283157823394,70.23565195679419,69.83615233842201
108,60.709516950885195,77.8017426428235,95.02137300047947,62.938666597781975,60.245770417907366,57.18020558221385,71.14384308764178,69.67612304611454,70.87831278956709,70.24894563119017
109,61.59157637147638,78.55352671007796,95.58673892268612,63.405654978286115,61.147849367281445,57.67106773879949,72.28511943160174,69.58814958503795,72.40959487222771,71.49867730676941
