Time_Sync,Dsc_DireP1,Dsc_DireP2,Dsc_DireP3,Dsc_DireP4,Dsc_DireP5,Dsc_RadiantP1,Dsc_RadiantP2,Dsc_RadiantP3,Dsc_RadiantP4,Dsc_RadiantP5
0,69.83867100746315,46.45592900274128,43.98202396694011,76.71165489636776,42.76124797841142,42.34122541002029,34.08569990692729,44.94153643961869,64.9860497230774,32.015563051499456
1,69.09552041482245,44.18493994052708,43.23202396694011,76.61356743801245,42.08149696719323,42.34122541002029,34.08569990692729,44.94153643961869,64.9860497230774,32.015563051499456
2,68.20316302651986,46.26614981732854,43.978011957090516,76.61465605662124,42.581843328616884,43.16278011474266,34.254655999380695,46.028828613254205,65.93734399849153,32.0011782298908
3,68.05790048091478,48.947247074797204,44.9874327473916,76.05756760335919,43.87635634917172,44.802046418339536,34.81471628277473,47.04489473025788,67.11715586102174,32.444029578508726
4,67.92816463099048,52.10961225052791,46.344762159368756,76.70115856234885,45.17444109642251,46.22981235082207,35.39101948851319,48.47803163130759,68.19997487416924,32.8967409479992
5,66.23990992241096,50.79635598861213,46.347972903882805,75.56446424867528,45.25690264441829,47.25176477020251,35.93571804470466,49.5718755553534,69.19704949330317,33.394922702259194
6,64.9754815573172,49.546404080003114,46.23690230855219,75.28645683036943,44.855430986897375,47.824634779679315,35.8896938092619,50.24261097885345,69.48738557101761,33.51561128386995
7,63.464324700389376,47.88639189833481,45.94711571509423,74.73546701509665,44.38436598972197,48.81605681066889,35.417837247655555,50.90787862676076,70.01774648260641,33.589460907494825
8,62.29640851276885,47.779444890228355,46.81035676884946,73.56182308307108,44.79453467562052,47.84782358128368,34.60107612958488,50.89404091025679,71.17983198651086,33.20544396912527
9,61.40078106307718,47.249434563878935,47.32516181999995,72.56634913185589,44.972897836373996,47.376330379203296,33.740215057911946,50.638543197266,72.89579494678851,32.83611485078268
10,60.94593491646048,46.74258177588245,48.205559662877455,71.78159060259163,45.71048377270779,47.381065455218774,33.585871941080114,50.82689183719059,75.36337391211137,32.990128086818856
11,60.040384313745804,46.55802286360536,49.2371607487795,71.05073269512935,46.200328567304766,47.02101718625137,33.082163378340695,50.414943653655556,75.86171111926384,32.72978064146741
12,59.1008261008087,46.34279982083109,49.30744901234465,69.97267509761468,46.857593950517696,45.53719067348338,32.22325908004097,49.393760133620646,73.67629479856582,32.15427610912272
13,58.16063349474129,45.865623114684944,49.366561411578644,68.88706551096942,46.48160693991093,44.74527183658603,32.233045211162676,49.05744733347396,73.21345540472487,32.287562899022
14,57.177259932001114,45.03665206149694,49.00181569065754,67.63340015129687,46.78186939801406,43.78670159008861,32.29002469918558,48.97077786630973,72.76746888205282,32.52389115886519
15,56.279520500709,44.72704766101794,49.046374773059924,66.8802886027262,47.45521956345872,43.14454080124527,32.698629221809426,49.102097650125884,73.35381642990077,33.05804999980911
16,55.40656750419153,44.460445154495034,49.11234278923197,66.16013063392703,48.16565631023404,42.62512026834049,33.27580795900993,49.06062565618487,72.79388804570246,33.89383918568615
17,54.6493455489194,44.83772715248628,49.64309244927125,65.6944731684106,49.3301829342802,41.75424510159403,33.41151339925825,47.530711190056486,72.92142288467251,33.96677492753055
18,53.98693266480596,45.00100007425894,50.22772412879726,65.8162724533079,50.95312273344458,40.70023210555426,33.52741686059471,47.26816051326705,71.58310102836082,34.06092020538455
19,52.825782275752374,44.76415776696055,50.95120711221648,66.01325612587311,51.81398586310178,39.69410703107897,33.70365601260568,46.94972275637148,70.14390559453898,34.11166004227213
20,52.04262025013696,44.35612815793575,51.48015742778246,65.05324716533612,51.93262038162867,38.71417604991531,33.9465058207409,46.666419026552695,68.71134774303957,34.167083121071
21,51.59331304513338,44.32015110301522,52.30879491933784,64.6943369299317,52.858591509757964,37.97113331626174,34.489145658857495,46.15613254610259,67.52278155391369,34.274951172622686
22,52.24118981033092,44.62113839078041,55.23257209469964,64.43565574695967,53.7874877910726,37.49600216261545,34.435724673474645,45.5940100227367,65.72528280041551,33.93549083070562
23,52.44671911470658,44.668801601473824,56.70294077499469,64.13293240616557,54.75800676827157,37.29471066829366,33.79902659975249,44.78548652589221,63.67324299364053,33.25484194353003
24,52.92892508393674,44.68976341962922,58.43936172747246,63.39610961583403,55.75695816358492,36.84998801222857,33.31720841820927,44.226994022933496,61.64672039970182,32.713352690158324
25,53.71301365656192,44.99708808494593,59.709675273335414,63.32049368062961,56.12641029607631,36.41237739331458,32.84046973749939,43.66853552680244,59.634270572805185,32.173710659016635
26,54.04310730224152,44.52813241577086,59.24583126038119,62.85272416573679,56.11363104415162,35.98247336759143,32.3692838382114,43.110114453817175,57.63726666578556,31.6362177499934
27,54.14368478086564,43.78963921443356,58.52586958327208,61.63716922097371,55.17635422129474,35.34046182766886,31.714504623341426,42.853453162872775,56.78707674759035,30.67895008190066
28,55.35643920422242,44.17904350601128,59.20925075874086,61.36111317518415,55.446824811578985,35.667153351218815,32.01498204307083,42.842498419469365,56.551731708351014,30.979479914156215
29,55.41582838302817,43.53428543288773,57.467516176523645,60.32520516477686,54.96220762658134,35.52462367616391,31.7482272713039,42.02462367616391,54.702102128295856,30.59537249533587
30,55.66513996412263,43.34494239044761,56.97710433582966,59.90059160204725,54.508508662164935,33.12106302780097,31.1431355905037,41.217683670662126,53.15971448977348,29.642047144535756
31,55.70065635933382,44.05114138116345,58.976466501261285,60.3264606389563,55.373759320187645,30.964976403635035,30.02388128615608,39.101111587245995,50.294402970080924,28.415431132290703
32,55.82843725753718,44.27208885211345,60.07784132449251,59.68275912107579,55.19053719983498,28.178136322972026,29.93439767668029,37.433754163995545,48.32581289195559,27.441918267470555
33,55.87803389507013,44.33878899164795,60.06802438646615,58.860061130281764,54.73760855235424,26.955026458428488,31.413812151124546,35.807911425413764,47.663644068176,27.383722614269544
34,55.93662511236923,44.20078153038608,58.519634592197335,58.547798680456886,54.52196498061219,26.649974745271873,32.81686869785622,35.13385967915592,47.856801359504,28.11197535775054
35,56.58456381487956,45.07610059777007,59.53256915965922,58.19804261365336,55.00717315870895,25.841049965353548,35.044095650098065,33.63203947134358,47.98366732953244,28.058513353603615
36,56.229213422465385,44.71665701084595,58.7375732844677,57.37782524144047,54.9488100376771,25.291927037201205,36.779724106265874,32.609254991942095,48.38613809006374,28.28109570403934
37,56.69860788456493,45.267818871737106,59.883022128829126,57.079039386939655,55.78329390307523,25.308434652493574,38.26986408258755,32.23221667985172,48.46653751817155,28.877718942887565
38,58.846683308242106,46.57353995117766,61.65393609419244,58.67761608012128,57.44192509434898,25.615395675698693,40.571314596433055,32.118190852739126,47.9531851766694,30.10341870815176
39,59.81231516672135,46.83126435021643,61.06483809559802,58.716504874586924,57.78009069517237,26.525799339974103,41.98022477027095,33.01695805372459,48.2140722547404,31.229279803370652
40,60.42226269282017,46.982257190774234,59.881254751908294,58.52351496791194,57.520325210378495,27.44213785633208,43.255197834604736,33.372806112867266,47.74427959430814,32.637624567610885
41,61.66465348043242,47.65122790558129,59.30565170821234,59.18102291466943,57.408117636922654,29.238756601528188,45.578427916055,34.68760898730537,47.668225460180594,34.63992074018917
42,62.44519718341208,48.129649259537935,59.35497778233777,60.1639725845433,56.852165689247954,30.712120631200232,47.362406572455114,36.13890295072304,48.583238637435315,35.58101040647952
43,63.17026327528567,49.12804578800867,59.84639183618854,62.759973640879785,57.8086562586637,33.384029383068906,50.211900974117896,38.20766489084984,50.580870744336536,37.85267662622971
44,63.50154482553417,48.9275957498713,59.38941873851404,64.19220763910872,57.29534827580177,35.827881916143895,52.12468500777662,40.185537348998146,52.1507438408256,39.125813821941215
45,63.53270647037607,48.15567040347831,59.63724395022159,64.20100387175312,56.09414992844212,37.793528621428024,53.61916087915494,41.91742301459356,53.16619217540861,40.0323121699397
46,63.408335720622745,48.08346792772655,60.96608008580313,66.04624417123455,55.90428235011375,40.80504235059531,56.097672366958044,43.48733143621175,55.277477436107546,41.784489688469854
47,62.03053819296906,48.06201185266958,61.482723279118886,66.56097094520354,55.52246330198569,43.203835895678196,57.95991779157278,44.544243091357444,56.9170933662331,42.60568269173746
48,62.24785811328493,49.290798769085775,61.58307519883323,69.46280023488679,56.45658809307265,45.785839945306314,59.936762904093854,45.641997776487685,58.271582148683805,43.639700128351976
49,63.80163005126691,48.6758510259458,60.34331436638744,69.73567051036201,55.785006926105105,47.90691488885387,62.78539534360063,46.96356319264221,59.0774843079013,44.05572549379903
50,64.07696783348891,48.103761302767296,59.26192197164966,70.06846817372082,55.174491636786776,50.57626458269536,64.61703691277141,48.467393086951574,60.81946894102738,44.844404113983174
51,64.95360042693541,48.37374641171409,58.9255068366719,73.39272716561304,55.210671135431454,52.756816458032276,66.83031555619223,49.38933952948709,62.21373241010356,45.5578603478649
52,64.27695605023624,47.50089250388418,58.21269257953236,72.48418090827543,54.00601549177396,54.06809842254887,69.22873555386414,50.555241394899014,63.225004128029695,45.83723068749889
53,64.3217255492106,47.59461413958741,57.57258042864699,73.71823118477168,53.553789802789495,55.83195312554879,70.54751122451354,51.881189514649144,65.05665867833801,46.726608667153144
54,65.0098125859338,47.90711567149205,57.58347142280148,74.5843452213325,53.11215143031133,57.46197662394385,72.28465848394448,53.403768243729544,66.76733147401853,47.245389723576075
55,65.08965574358562,47.61106134555497,57.42098989327968,75.24614087178459,52.094352730522665,58.885902318797854,74.92003012237076,54.912873313719565,67.71905468425003,48.10279832550334
56,65.27145958781887,46.87386399106923,57.409496743013605,77.94665497477561,51.419329748311704,59.62635345394452,76.18504022779814,55.57572309420284,68.2062596716651,48.28379775008587
57,65.6442441710201,46.220431840067356,57.54542382362213,79.54454548537858,50.29945715375459,60.4613955211615,77.82399132951349,57.62264792316203,69.83384475037187,48.89460521512717
58,65.3151648111702,45.7862060283666,57.2266029936403,81.61045594695558,49.600891360095105,60.44069682381071,78.11228644561895,58.48555302821607,70.19122406236389,49.22434731135529
59,64.19810798919998,44.63583739196152,56.924973194482625,81.09029294544261,47.655182985381586,61.64108553433705,77.25761757874443,58.837278987808105,70.36959710086157,49.48393899479713
60,64.23341537700776,44.05881071940985,56.76486466427826,82.4574820718312,46.265253077700216,62.52194879269858,77.36049910298242,59.94039915733231,71.1633491343095,50.053912450480404
61,62.71664418453847,43.31609936104536,55.47470206066812,83.39155186556097,45.167630934452376,62.29271153697304,76.68975743122755,60.066239742732904,70.22885552186605,49.97450607200988
62,61.51669692765403,42.40217307549932,55.01350428364996,82.67340408654431,43.36359027927152,62.7039188964964,74.26665431129072,61.346271208340255,69.99202822870986,50.36571714921992
63,61.1149815733779,42.31189023425524,55.463526126462675,82.96562354190296,42.44892656966557,64.14049677579769,73.63148544521079,62.34826225432484,70.72291948826293,51.19865645561897
64,58.880297649295606,42.39170973687093,55.151274468708166,83.95162072799366,42.04285022139379,64.54171425075688,73.55915102208185,63.293007214154635,69.20555152625488,51.748331659367786
65,59.40455687146819,42.95726240440173,55.033801427126065,84.09057361533091,42.24688106526921,65.90344120450396,74.53022669737177,64.5008255457762,69.18988388361413,52.65287270617012
66,58.71655505632948,42.66265350070403,54.982791313589665,84.76202248136445,42.16108639938901,67.10765532346115,75.9275888800705,66.26347968704961,70.70834814877932,53.924764253544225
67,58.19629607365612,42.93822266027243,55.10472057259431,86.4211016373593,42.68840641464253,66.43233533838836,74.85251190982198,65.84658918552849,69.3634039687073,53.495120869867804
68,57.96392518806359,43.77239516896689,55.13803921223442,85.73065685785278,43.20952765084024,65.73801268454805,74.53492606531886,66.17165956700292,69.23413991329646,53.5457891899932
69,58.434749831628956,43.682102027250856,54.332725457774856,84.50566794580156,42.98609517930163,65.50198460111518,73.76398367443407,66.04681844054741,68.2044675050349,53.387875265373985
70,58.80430212237126,43.752406216052584,53.1360188762899,85.59867067775915,42.3917103198349,65.58561069080915,73.03350215297354,65.96277821757707,67.8803565327581,53.31315352294717
71,58.77338578477256,43.04186292535846,51.84554402707879,86.36064734715575,41.86868880730171,65.00950777324195,71.53624825727492,65.22843129150098,67.71200698690947,52.78189376916612
72,58.36865363206853,44.3924123962362,51.333661457594474,87.8059087644179,42.19303502789836,64.96128741423557,71.85901938732752,65.5558148598922,67.42595118610083,52.76544655961313
73,55.89550141031708,44.105625211118046,50.21622234560549,87.31422158667664,41.40060311174007,66.05262980151369,74.22735791567996,66.51021421961067,67.72067243151545,53.691476954910605
74,55.61912873069648,44.4420404532484,49.84293092280724,87.80290504350106,41.10097532702345,67.34968763720252,75.75430933792475,67.28620667211395,67.98131989852189,54.53106060778315
75,55.73728076585564,45.04605523679559,49.209821612842376,87.24564289407024,41.14096199276102,68.0882953125853,75.46346957165623,68.31258633816303,68.96490865464902,55.04673851666769
76,52.70278096312204,44.06532679132876,47.51065791241982,87.15230117811788,40.02540952130327,66.99792931579697,75.11815069981202,67.96915345485861,69.69918306145223,54.69465703284911
77,51.880424784212465,43.816523198702406,46.90763279182708,86.38347880645128,39.386313057457,67.10971537235979,74.43345399377141,67.65240746829623,68.0410683221819,54.307103932899125
78,52.975069780253726,44.80846169339135,46.3192555087751,86.26893058228367,39.6907135696696,67.34355074325609,74.43430315063685,67.61966531096118,67.63291857449676,54.389615437632855
79,51.366642640494945,46.013380262725036,46.15056703431267,85.0915794435266,39.79446971138849,68.05833625529387,75.10473606140268,67.24356586335828,67.9711836116496,54.46197426951917
80,51.22455631466824,47.33611854088101,45.9997724194253,85.21087242632653,40.178750773019246,66.73649288398981,74.47178945285854,66.36740537394421,68.04517523325516,53.9769483019519
81,51.00183115224341,48.933047212380146,46.004559948771,86.44783831755805,40.802524463978514,67.45833686183529,73.40454445989052,66.45036214850727,68.7872897929399,54.23676611161179
82,50.931711969064764,50.73527815044864,46.32971674442597,88.6705536232622,41.6531455167261,66.40733662322032,71.15687653469405,64.61013069098138,68.08070542975038,53.323374657720834
83,51.03958875922357,51.467270141834575,46.04120268035072,90.7073703431685,41.98214495291134,66.21511421831694,68.98396783645177,64.06798682627425,67.90306396148736,52.922599449870006
84,52.43654432608531,53.09569907834717,47.453208834990875,93.24153110431394,43.28388016200627,68.2289794384821,70.56059656082842,64.95817192287758,67.53699260137897,53.86402315323585
85,54.34390289798503,54.56327139243251,47.668371087192995,93.445199155889,43.952949417873945,68.22485425967321,71.3337595490866,65.09710998887132,68.52681449779968,54.18614000008739
86,55.374729646404525,55.86038722113385,47.80896747789276,92.12017309961163,44.511859582891084,69.4030884197217,70.95782532139665,64.96019288648728,68.68817363372027,54.41820009688747
87,54.855423025385505,57.49996590516267,48.16576966541109,92.16951494313865,45.37858322189366,71.35357486867073,71.61036692564117,66.29611402778403,69.99048671325252,55.58317487983324
88,53.5430840032557,56.36332801426801,47.0049367511382,90.66613231207074,44.41948931544225,71.8287689018081,70.64522154299053,65.96168692192344,70.45113055507875,55.531619383424434
89,51.82405700579793,56.643002883683835,47.67754128015836,91.58628599032586,44.47261391622732,71.50194407242896,70.4635983416856,66.81430462219136,71.14504970762013,56.0172397496178
90,51.31488776138929,56.699588927580415,47.98344062707355,92.66297907206169,44.577323385296836,69.6408116930532,70.97070847358154,65.0162758871776,70.65088474823351,54.918948989791616
