match_id,winner,tier,radiant_avg_distance,dire_avg_distance
569649581,radiant,Pro,86.58511273,93.3208171
569716737,radiant,Pro,75.10538033,65.50476174
579132234,radiant,Pro,92.46288812,49.15197351
580607270,dire,Pro,79.94967277,73.70240547
580713548,radiant,Pro,83.59396381,68.75024452
580795951,radiant,Pro,84.35567947,70.77220996
588972183,dire,Pro,88.69143335,85.91748068
589072947,dire,Pro,75.93099823,62.07549679
589157786,radiant,Pro,80.57070286,73.27036804
590348637,radiant,Pro,85.5293441,79.33830987
590436483,radiant,Pro,78.809919,90.30566213
590518928,dire,Pro,75.41187276,73.51611323
591705499,radiant,Pro,92.07924998,89.71560961
591798786,dire,Pro,84.02754872,72.79570396
591890072,radiant,Pro,75.29036601,80.07418154
593051940,radiant,Pro,86.385444,90.72585907
593144800,radiant,Pro,80.10871379,96.36512666
599472634,dire,Pro,66.40533405,90.23157515
599569853,dire,Pro,88.85653089,88.3949089
599633031,dire,Pro,78.29133293,72.04678841
600841581,dire,Pro,83.43466607,69.40658689
600946678,dire,Pro,86.69461312,87.38053653
601028596,dire,Pro,64.98498489,63.86931814
602248335,radiant,Pro,80.45518239,78.9896009
602341542,radiant,Pro,79.93710908,84.16511779
610263617,radiant,Pro,70.06911554,68.35016083
610363820,dire,Pro,87.33628958,84.74679185
610451558,radiant,Pro,81.76312531,67.54195648
611706372,dire,Pro,78.61310537,85.64545561
611805511,radiant,Pro,80.41047629,78.54956725
613149649,dire,Pro,71.03684228,91.09667418
613258812,dire,Pro,73.88729539,72.49492693
621041235,dire,Normal,71.41811273,86.73419535
621214317,dire,Normal,89.02759101,89.67372287
621620590,dire,Normal,79.10596595,81.0883068
621624233,radiant,High,73.23427516,64.02873137
621885923,radiant,Normal,99.81401047,100.7488241
623172202,radiant,High,82.51925056,88.3975976
623199714,dire,High,96.35637062,87.81813167
623246765,radiant,High,89.5389658,85.80166372
623384981,radiant,Normal,84.85373572,82.8783395
623642286,dire,Normal,92.50985598,95.50241773
624579175,dire,High,80.91825976,95.27105698
624608163,radiant,High,87.33449612,75.89112037
624642968,dire,High,69.43057966,90.93400347
624692548,radiant,High,87.31298818,78.98874571
624755961,radiant,High,88.84622288,84.91414485
624816454,radiant,Normal,92.57679735,87.26044292
625739549,radiant,Normal,77.87134489,79.67847646
625840949,radiant,Normal,81.47051026,72.77089101
625935277,dire,Normal,96.19166097,94.38114337
626519881,radiant,High,82.96924354,75.4928704
626780627,dire,High,78.40560803,95.17922667
626855387,dire,High,84.05070145,85.16380637
627040007,radiant,High,85.38392592,78.6373434
627083336,radiant,High,87.6516246,73.46087432
