number,winner,loser
0.0,26,27
0.02,33,24
0.04,23,26
0.06,21,25
0.08,18,21
0.1,15,21
0.12,15,10
0.14,5,13
0.16,12,7
0.18,7,5
0.2,7,3
0.22,2,3
0.24,3,2
0.26,3,2
0.28,1,1
0.3,0,1
0.32,1,2
0.34,1,0
0.36,1,0
0.38,0,1
