Time_Sync,Dsc_DireP1,Dsc_DireP2,Dsc_DireP3,Dsc_DireP4,Dsc_DireP5,Dsc_RadiantP1,Dsc_RadiantP2,Dsc_RadiantP3,Dsc_RadiantP4,Dsc_RadiantP5
0,16.384721040414412,31.684814666661133,16.562612574270243,26.338358183288808,17.506766201587983,52.656481461331715,43.585227615925874,39.578904620785444,37.87234608592917,48.32746087875582
1,16.384721040414412,31.684814666661133,16.562612574270243,26.338358183288808,17.506766201587983,52.98914230960098,44.024974847922536,39.3820023308239,37.68914685450144,48.81464878387251
2,16.472425851457515,31.413464018648863,17.06229359549055,27.900968824148183,17.224521897361548,52.39311529725675,44.24846953400376,37.15420823510351,36.871758115275256,47.94888393384786
3,16.97123961683487,31.534638682583232,17.56201574085251,29.520679398821866,17.724521897361548,51.935305656623356,45.38574196788316,37.13026395937978,37.095683532817134,48.24142869000161
4,17.719729055056685,31.784638682583232,18.311660207064573,32.01881330325575,18.474521897361548,51.326711731103934,45.655351759789326,36.73512982378167,36.9197941630712,47.79611524716884
5,17.969284610611616,31.884828073805274,18.561555231222894,32.86845327419104,18.724521897361548,50.88691893411273,47.15505412802462,36.12319860430409,37.25090125732164,48.06493497553782
6,18.45806298033297,31.889561089394686,19.07148818804155,34.37518652069457,19.227810801735657,49.78525706513032,48.57456082620382,35.44370814615581,37.92241380120065,47.59405948860886
7,18.704591427648417,31.80384108778588,19.337543807490054,35.06157377635893,19.487333992244867,49.181168727786954,49.82188721713726,35.01709145851435,38.283611281296324,47.00033157158931
8,19.02069991507087,32.08133684933638,19.267491850483875,37.90627510370882,20.227497666161554,48.778406527515514,51.02032936725259,35.909756566125,38.3089380778883,47.04258650215285
9,19.72601477578127,31.889243577996307,20.176174107812166,39.740164287347,21.404585455505384,48.76037805452409,51.834304520008224,35.30120075078895,37.80349748217545,46.85116436796713
10,20.69763896134343,31.90698270820022,21.370698461650743,41.610994786530526,22.39437620967017,49.26368421024931,52.62536359362384,35.27079449048815,37.11114808721591,47.45659015259716
11,21.93178896557269,31.65317803746373,22.986703457059896,43.34693175140081,23.645226940766946,49.04690753342818,53.714057720674525,34.756949209844166,37.31824308620315,47.234398936041785
12,22.930472181298477,31.60686284763685,24.26105015811567,45.099689116489664,24.654788547433284,48.89523756842545,55.25467190436672,35.07608354810199,37.62690313166445,47.24164556089327
13,23.00435948450614,31.046340302525113,24.626136628407707,45.18999727923324,25.563976703301144,48.56412024526569,56.88345152514237,35.33909307012219,37.827768540871396,47.29989821741316
14,23.773984783876482,30.68990755719957,25.75390385728223,47.27056590227417,27.513310726477627,48.39965634962039,58.00353787133946,35.68873724625723,38.09440874245999,48.197511590124584
15,25.172409840782933,31.07892272485095,26.95275380195853,50.51959004212887,29.20508645836648,48.55951161545042,60.351956382743445,36.19234871166869,38.508839931755595,48.71521372867719
16,25.471016095934274,30.33566712429961,27.776942781981617,50.54176633262046,29.319641155403627,48.310568192279334,62.158744598570706,36.627020891229655,38.88880187195305,49.04867973285893
17,25.96098622666411,30.113826388495752,28.64618004888797,50.441923829644516,30.334668988779654,48.58609481933512,63.908229517670115,37.269905679045934,39.085191589228494,49.77162143198336
