NormWin,NormLose,HighWin,HighLose,VeryHWin,VeryHLose,ProWin,ProLose
86.73419535,71.41811273,73.23427516,64.02873137,93.79061393,82.66144337,86.58511273,93.3208171
89.67372287,89.02759101,82.51925056,88.3975976,83.91010367,72.82254589,75.10538033,65.50476174
81.0883068,79.10596595,87.81813167,96.35637062,95.32417458,85.37394966,92.46288812,49.15197351
99.81401047,100.7488241,89.5389658,85.80166372,92.08076135,78.82182682,73.70240547,79.94967277
84.85373572,82.8783395,95.27105698,80.91825976,83.70077584,86.9377676,83.59396381,68.75024452
95.50241773,92.50985598,87.33449612,75.89112037,92.13203741,94.732815,84.35567947,70.77220996
92.57679735,87.26044292,90.93400347,69.43057966,78.79415438,75.91561142,85.91748068,88.69143335
77.87134489,79.67847646,87.31298818,78.98874571,88.16256871,85.69092439,62.07549679,75.93099823
81.47051026,72.77089101,88.84622288,84.91414485,112.095893,72.70028082,80.57070286,73.27036804
94.38114337,96.19166097,82.96924354,75.4928704,95.17922667,78.40560803,85.5293441,79.33830987
112.4555515,101.5438303,54.77592778,141.2878034,78.69199045,75.95585871,78.809919,90.30566213
88.30553785,89.22746756,95.17922667,78.40560803,100.7328587,91.46604245,73.51611323,75.41187276
102.0948942,84.65740134,85.16380637,84.05070145,96.74434102,104.6088183,92.07924998,89.71560961
119.6139507,109.9631294,85.38392592,78.6373434,94.16636922,91.98794063,72.79570396,84.02754872
104.9246562,90.40140095,87.6516246,73.46087432,80.96680742,97.90893979,75.29036601,80.07418154
106.0454513,89.10577831,97.96366114,79.20043866,77.67315079,79.47674363,86.385444,90.72585907
88.34440855,83.61341805,84.21653187,80.8708046,60.8312245,65.89899416,80.10871379,96.36512666
118.7449227,57.795799,81.47431178,71.40061477,75.22348879,69.12858329,90.23157515,66.40533405
94.62460054,97.61790727,87.52367981,81.61061747,75.40107887,80.56668374,88.3949089,88.85653089
89.50274961,75.48605189,86.58714527,74.38724244,91.98441911,98.21620708,72.04678841,78.29133293
84.62811778,79.01759094,119.6139507,109.9631294,79.07128707,81.01702411,69.40658689,83.43466607
103.5048026,88.89116397,73.90576139,77.62067896,77.32284717,78.82457968,87.38053653,86.69461312
85.60843978,82.89435167,84.44209158,81.0695429,83.47647817,71.2478532,63.86931814,64.98498489
99.60261551,113.091328,96.25686477,94.97384127,88.3322121,90.35463589,80.45518239,78.9896009
96.57184087,74.06102132,79.03983901,92.78927886,100.5379403,83.08822282,79.93710908,84.16511779
88.99587622,80.08421665,89.26016963,85.75538755,83.52136734,86.54332974,70.06911554,68.35016083
84.93167335,78.44388428,82.47333647,81.31651047,79.68549843,68.04691462,84.74679185,87.33628958
82.62063388,68.76274636,77.43011279,100.1431723,86.54332974,83.52136734,81.76312531,67.54195648
71.03832841,76.68437625,79.59510102,73.56883156,86.11383486,81.03664401,85.64545561,78.61310537
86.92459111,74.68258864,84.3980104,85.13061019,106.6511593,96.60253949,80.41047629,78.54956725
110.4024415,97.84773717,86.87228843,85.78597508,77.53988244,92.01448332,91.09667418,71.03684228
85.97141266,88.97965818,92.90536695,74.81099403,91.75657838,86.3601043,72.49492693,73.88729539
104.4652839,90.52794625,89.68675777,94.31361124,91.99400347,90.45632631,74.8682028,78.39618792
103.5434187,85.7558673,82.43458163,74.40562721,90.70962787,93.57288501,69.89750275,67.43932187
70.17892379,76.45128158,88.89116397,103.5048026,80.22138967,77.52284723,91.68027829,82.60678008
183.269885,27.89810798,77.79221881,74.83357073,75.28771006,82.13783068,87.5437654,71.77223893
88.66802039,83.01616561,97.51153628,80.79378155,73.91431845,70.36078339,106.457836,83.41876768
98.65444281,71.55993316,69.35049595,80.2605281,99.8601522,99.87746273,75.9130838,88.93919832
98.37500517,90.85727415,84.08102023,70.34832331,87.59786642,73.49894724,89.13131451,99.17626558
93.94735616,96.30214254,78.37215498,74.22110588,85.80166372,89.5389658,80.79723692,95.35588229
76.76283172,103.3972926,92.83447323,92.60879854,74.25050817,68.2696086,71.41811273,86.73419535
103.6965114,85.285037,98.53066079,90.90868978,86.20001195,69.00881206,82.24936556,81.56621199
78.52875202,84.92125265,82.56020651,64.73292217,76.63038465,79.1787107,83.66371724,73.59386221
89.97644037,88.411434,96.8611141,71.4476833,70.71603298,82.53004878,91.97133318,79.86325368
81.77339852,78.82274608,80.47261598,82.25456208,78.56892684,87.08781114,78.06012371,85.06790266
84.18226297,81.81413513,85.92252813,78.25629271,81.59939678,79.14193343,91.40737511,88.5074951
81.47051026,72.77089101,83.80270307,74.20339441,100.3325271,70.20329795,75.67564684,86.22271963
83.78397062,66.20501696,87.60869555,78.25090232,74.83357073,77.79221881,0,0
83.26030268,77.8734292,79.65380402,82.25302391,67.6111318,67.79129088,0,0
88.29304482,77.52654357,0,0,81.47111467,85.88401355,0,0
