Time_Sync,Dsc_DireP1,Dsc_DireP2,Dsc_DireP3,Dsc_DireP4,Dsc_DireP5,Dsc_RadiantP1,Dsc_RadiantP2,Dsc_RadiantP3,Dsc_RadiantP4,Dsc_RadiantP5
0,27.427224985741983,31.747362698422943,35.85151293842911,52.34170574677706,33.32868055118789,14.375101374993383,14.062658056650537,36.06322745161812,15.579778606333202,18.52353354397146
1,27.6420299519089,32.126931876688076,36.181521994726786,51.84281439014684,33.7541723952874,14.984628152249973,14.812658056650537,37.804500107345234,16.638201424272076,18.540925764515507
2,28.963992464755307,34.160167651797124,38.79803356935744,54.468209766901225,35.18041818793528,16.488589420848278,16.398712431864272,39.16274331972198,18.24963749682091,19.84976885823261
3,30.043125819186315,35.776914217755234,39.67476285503716,56.15952119149467,36.85478228413926,18.14032571221182,18.142367571007636,40.63827062926521,20.004940019701305,21.642344452605816
4,30.963430219688114,37.04749202251105,41.0475034134649,58.03229841605002,37.562549446023255,20.133377173612995,19.868893233753553,43.61048607940158,21.71174823844813,23.52883129555966
5,32.60734999472971,38.99039934210311,43.59225111448612,60.93123424154291,39.27587523275222,21.751784548785118,21.46739526901716,45.05487512973809,23.317096327583435,24.8999795560661
6,33.68851987010877,40.22898339498027,44.88158775701658,62.44987861356053,40.13380940439589,23.544225582039097,22.95256023783264,47.10012925428531,24.789389775968242,26.596903509608246
7,35.125861408845644,41.76388940711527,46.50393223845593,64.33651212202619,41.543996989493934,25.262021352186373,24.703496927602753,48.71100437652538,26.54844623556898,28.488081270796506
8,37.017857584550036,43.76737129658897,48.662559685519895,66.49700585415506,43.32083043816869,27.833202392443827,26.693044407393877,51.83258818592421,28.52235252369963,30.401024935942647
9,38.73559013661945,45.43258138188101,50.3478603689649,69.38508462856807,44.71041035338178,29.68141326209817,28.2006390389733,53.94383116682364,30.021423224427636,32.16547877422438
10,40.634720639821396,47.23905421322962,52.22779545792597,71.23062118820951,46.17938665423812,31.761508806509653,29.729773841649425,55.7222568494634,31.541763552021457,33.84730805289715
11,42.36375940160272,48.58202456979901,54.209303836717424,72.19841514985387,48.11499683408712,33.633964511169694,31.24260029263797,57.8591946671919,33.04820381893936,35.62959589867741
12,43.099466935562766,49.316746957370285,54.440247088739426,71.92837096139392,48.782544511748156,36.318059475453694,33.25790516955786,61.03591316556809,35.05480136020615,37.61183675723184
13,43.02363573727995,49.533272078867675,54.547607027705325,71.45912953959035,49.199341698914,38.45990415102668,34.95949761556456,62.99540528210866,36.75121561197078,39.82712291665727
14,43.46007154943959,49.82632829826109,54.78012660411786,71.1660665806165,49.868290347905734,40.661492261971,36.45648010450482,65.14392325315474,38.237274045555274,41.735598297940676
15,43.873395087361864,50.012338784944845,54.88010660995276,71.06129923146447,50.462837029194645,42.81387938014908,38.16120848683541,67.12012167359217,39.93830004827875,43.96553841861866
16,44.341386760114354,50.33849133080942,55.14690031560754,70.85152114175538,51.313996863757396,45.550449200075946,40.01169520856139,70.16063474836713,41.783903063648054,45.466660713628755
17,44.818262774707115,50.67685537820479,55.427031288308754,70.68177605322538,52.23962280991674,47.265263283675004,41.21707355125808,70.33339638673567,42.98673411920612,47.33232926660134
