Time_Sync,Dsc_DireP1,Dsc_DireP2,Dsc_DireP3,Dsc_DireP4,Dsc_DireP5,Dsc_RadiantP1,Dsc_RadiantP2,Dsc_RadiantP3,Dsc_RadiantP4,Dsc_RadiantP5
0,18.249197484974786,10.134087027332466,16.34051299767811,10.493007071829776,11.156103713116515,9.938722455775308,6.113749703850491,5.155463059932184,5.736781995687595,4.6586034037919895
1,18.249197484974786,10.134087027332466,16.34051299767811,10.493007071829776,11.156103713116515,9.658681444923014,4.80190966933891,4.80190966933891,5.386000936329383,4.33113883008419
2,21.03751208863614,11.151892264547696,17.803319044130316,12.109541170904686,12.236275301295754,10.853359927225725,4.221587379343169,5.2774492426489,4.976560739921235,4.175039290248444
3,23.44874509989627,12.773714405477332,20.05599800739629,13.944149029740059,13.347777280536386,11.562178554545257,4.319415639073021,4.819415639073021,4.748488046335657,4.325140769936443
4,25.64178200714509,14.732661098376923,22.744417302749223,16.567979233388016,15.025839776822043,13.666643937203766,5.223578071454457,5.153040017539918,5.490293268791937,5.376223801958927
5,28.644050288027756,16.025988377725277,24.026149885905493,18.126182372046806,16.32371956669238,15.239053086126491,6.188915052710263,6.232275533993148,6.799323316686021,6.739163184072295
6,32.229625890216205,17.67620388184681,26.573516140220082,21.884553081383206,18.40259265465227,16.640275036419727,7.484614126955219,7.745354104846752,8.501545444619891,8.220680533770452
7,34.46013929882662,18.538665396379848,27.47808725788417,23.746557169329254,19.513752749274904,19.147693544907707,8.830102167495186,9.198686212894062,9.999967997482635,9.126134002365786
8,37.27768219045703,20.35807438150182,29.35338350419677,26.017843826517932,21.351133921262957,20.633670532947264,9.559367268997958,10.28938249392639,12.383880985873619,10.309400141944518
9,39.8018295298949,21.620989157365802,29.98589816105255,26.915997194955118,22.83470468927488,22.787264568706323,10.519464244963686,12.477096337814922,13.622937031337099,11.188190719575836
10,42.661748196226924,23.25628274926911,32.025415492729124,27.852046403582303,24.4738367788285,24.239802391002385,11.208223925986584,14.008041658303911,14.368058082112086,11.38274518516878
11,45.638488080368916,24.182585352117847,32.82763586878137,27.758875833441138,25.393100560752664,27.05340026711037,12.296496239607336,15.680055553214604,16.00733626919804,12.248015715945746
12,47.28158010722569,24.878712487921113,33.63794207607265,28.381566234178123,26.70754874595303,28.953130001698412,13.712631814256182,17.923966325405818,17.456254264415445,13.435438623601048
13,49.9077931118121,25.80654079828351,35.10061355095643,29.402763269953326,27.566355594981836,31.20954526723372,15.836050436433698,19.988461049287956,18.781205281808745,15.01969391548749
14,52.69118671813277,26.729118877078907,36.20675345455525,29.754035522277643,28.875420565128348,32.7653930432459,16.612668138633126,20.535051652823356,20.69510109574208,16.272859590795417
15,54.4264025041916,27.287923701653085,36.796984798740425,29.920539484032346,30.053590781373494,34.92587730281872,17.34643171360406,21.89641475446576,21.272333285184143,17.017889807226993
16,57.33220522979906,28.306380832115067,38.553879046515426,30.753690145135444,31.025655019555757,36.71464778170895,18.232659414214023,22.935323368297855,22.231761106002246,17.683126960309608
17,60.1004232621905,29.114899183821493,39.588079690616624,31.934706336029137,32.15646327918313,38.787983748396414,19.52240966925956,24.459088288733803,23.647066072238033,18.715052515327663
18,61.99424985048108,29.736865195438384,39.956866487167055,32.46047040455116,33.485860928289625,41.07684957984018,20.664868209355596,25.774682969797524,24.90024597366498,19.724977144555584
19,64.40621889529884,30.606838464489023,40.67655201872934,33.602089438380176,35.26363381247708,44.29091967396952,22.09467835100684,27.35656037245547,26.43251640453328,21.03205948418917
20,66.8860929398931,31.775435765554995,41.69822410379756,34.365974864512665,37.06358991003532,46.49674068149557,22.86199071657917,29.06701993438349,27.5494784941758,22.01018701901039
